feature,pct_change,special_new_value
foodservturnover,34.48605185702808,
circuses,,2.6693241271310104e-05
zoos,,2.6693241271310104e-05
roadslen,386.11101926643994,
livestock,1561.651637374531,
hospitals,372.4903269172976,
cinemas,,2.6693241271310104e-05
avgsalary,0.0,
docsnum,,2.6693241271310104e-05
agrprod,1991.3954541364308,
